Ilan no,il,Emlak Tipi,m² (Brüt),m² (Net),Oda Sayısı,Bina Yaşı,Bulunduğu Kat,Kat Sayısı,Isıtma turu,Banyo Sayısı,Balkon sayisi,Asansör,Otopark,Site İçerisinde,Aidat (TL),Krediye Uygun,fiyat
1001955,İstanbul,Daire,87,64,2,36,0,7,Doğalgaz (Kombi),1,1,True,False,True,150,True,1897090
1001057,Antalya,Daire,41,37,3,29,3,6,Merkezi,1,1,True,False,False,94,True,318202
1005967,Ankara,Daire,55,43,2,28,1,1,Doğalgaz (Kombi),1,1,True,False,True,425,True,514019
1006383,İstanbul,Daire,216,175,3,18,14,15,Klima,3,1,True,False,True,100,True,4435556
1010539,Ankara,Dükkan,178,125,0,3,8,11,Merkezi,1,0,False,False,False,91,False,1946366
1013173,Bursa,Daire,67,56,5,2,1,2,Doğalgaz (Kombi),1,1,True,False,False,94,True,316705
1001399,İstanbul,Daire,126,114,3,37,11,12,Merkezi,2,2,True,True,False,115,True,3097078
1013744,Trabzon,Daire,106,83,3,42,0,5,Doğalgaz (Kombi),2,3,True,True,True,205,True,561639
1005572,Konya,Daire,225,166,5,77,12,13,Klima,1,2,True,True,False,129,True,755156
1010522,Antalya,Dükkan,60,49,0,26,1,6,Doğalgaz (Kombi),2,1,True,False,True,85,True,561591
1004125,Bursa,Daire,136,113,2,58,5,8,Merkezi,1,0,True,True,True,325,True,1032634
1009426,İstanbul,Daire,246,185,1,23,9,15,Doğalgaz (Kombi),1,3,True,False,False,131,True,4829866
1011060,Malatya,Daire,89,65,3,61,1,2,Yerden Isıtma,3,1,True,False,True,228,False,360780
1002234,Antalya,Daire,35,25,3,31,1,1,Doğalgaz (Kombi),1,1,False,False,False,0,True,383008
1012041,İstanbul,Daire,206,146,2,50,1,2,Merkezi,1,3,False,True,False,0,True,5401248
1007142,Antalya,Daire,222,170,5,40,6,7,Doğalgaz (Kombi),1,1,True,False,False,27,True,1783404
1013363,İstanbul,Daire,106,89,1,35,2,12,Klima,3,1,True,True,False,0,True,1482214
1001210,Konya,Daire,38,27,3,57,12,14,Doğalgaz (Kombi),1,1,True,False,True,100,True,178414
1012867,Gaziantep,Dükkan,120,110,0,20,1,10,Merkezi,2,1,True,False,False,0,True,688353
1010437,İstanbul,Daire,113,98,3,40,6,15,Merkezi,1,1,True,False,True,100,True,1145549
1002238,Bursa,Arsa,236,236,0,60,5,6,Isıtma Yok,2,1,False,False,True,254,False,801912
1006277,Konya,Daire,93,66,2,9,3,15,Doğalgaz (Kombi),1,0,False,False,False,0,True,492574
1010742,İzmir,Daire,43,31,3,22,3,4,Klima,1,2,False,False,True,100,True,592927
1002948,İstanbul,Villa,540,465,6,14,9,10,Merkezi,1,2,True,False,False,119,True,19962574
1011767,Antalya,Ofis,36,26,2,29,10,15,Doğalgaz (Kombi),2,2,True,False,False,0,True,325387
1008388,Mersin,Daire,94,77,3,32,3,9,Soba,1,1,True,True,True,100,True,362392
1010163,Samsun,Daire,67,55,5,47,0,5,Merkezi,1,1,True,True,True,100,True,445396
1004156,İzmir,Daire,249,216,4,20,5,9,Merkezi,1,2,True,True,False,50,False,4753825
1007662,Mersin,Daire,246,225,3,17,0,4,Doğalgaz (Kombi),1,0,False,False,False,136,True,869315
1012286,Bursa,Ofis,150,105,1,42,5,13,Doğalgaz (Kombi),1,1,True,False,False,87,True,936515
1003577,İzmir,Arsa,1605,1605,0,58,6,13,Doğalgaz (Kombi),1,1,False,True,False,0,False,7341019
1004410,Bursa,Arsa,1845,1845,0,20,14,16,Doğalgaz (Kombi),1,1,True,False,False,0,False,5739879
1005294,Bursa,Daire,48,42,1,25,2,11,Doğalgaz (Kombi),1,0,True,True,False,63,True,407655
1011936,İstanbul,Daire,110,92,2,46,10,15,Merkezi,1,3,True,False,False,65,True,2133896
1001434,Malatya,Villa,145,107,5,4,14,17,Doğalgaz (Kombi),2,1,True,False,False,0,True,630572
1014981,İzmir,Daire,125,89,4,1,0,3,Merkezi,2,1,False,True,True,100,True,1594754
1000092,İstanbul,Villa,708,590,4,8,1,2,Doğalgaz (Kombi),1,1,True,False,False,0,True,18388413
1011385,Samsun,Daire,131,98,3,3,8,13,Soba,1,1,True,False,True,233,True,795714
1007925,Gaziantep,Daire,154,123,1,4,1,2,Klima,1,0,False,False,False,158,True,790523
1005849,İstanbul,Daire,114,95,4,10,15,16,Merkezi,2,1,True,False,False,68,True,2034328
1013065,Antalya,Daire,217,164,3,10,3,6,Merkezi,1,1,True,False,False,65,True,2213575
1008454,İstanbul,Ofis,138,119,2,45,2,11,Merkezi,1,0,True,True,False,113,True,2454708
1013316,Kayseri,Daire,228,162,2,70,2,18,Merkezi,1,2,True,True,False,81,True,973936
1006215,Ankara,Daire,69,63,4,42,3,9,Klima,2,0,True,False,False,125,False,596001
1003465,Trabzon,Daire,107,94,3,33,4,10,Merkezi,3,1,True,False,False,72,True,467737
1009537,İstanbul,Daire,119,98,1,7,1,1,Doğalgaz (Kombi),2,1,True,True,True,100,True,4096337
1014197,Antalya,Daire,142,103,2,31,1,2,Doğalgaz (Kombi),2,3,False,True,True,254,True,1303070
1007438,Ankara,Daire,216,164,3,27,5,6,Doğalgaz (Kombi),1,0,True,False,False,93,True,2102814
1010279,Adana,Arsa,1367,1367,0,68,2,9,Klima,1,1,False,False,False,151,False,4463711
1006596,İzmir,Arsa,956,956,0,36,1,5,Soba,1,0,True,True,False,134,False,8602840
1009314,Kayseri,Daire,73,53,3,17,1,4,Klima,2,1,True,False,False,88,True,344246
1010466,İstanbul,Daire,92,82,3,0,6,9,Isıtma Yok,2,1,True,False,False,0,True,1882024
1009356,İstanbul,Daire,174,157,2,24,8,14,Merkezi,1,0,True,False,False,106,True,4721206
1001084,İstanbul,Daire,219,185,1,24,2,12,Klima,1,1,True,True,True,514,True,4914052
1008749,Ankara,Daire,103,87,4,14,3,13,Merkezi,2,1,True,False,False,0,True,1223649
1002777,Malatya,Arsa,857,857,0,78,6,16,Doğalgaz (Kombi),1,1,True,True,False,27,False,1257033
1005681,Diyarbakır,Daire,235,215,1,53,11,17,Doğalgaz (Kombi),2,0,True,True,False,168,True,1218602
1000428,Kayseri,Daire,103,87,1,45,4,15,Doğalgaz (Kombi),2,1,False,False,False,173,False,415950
1005015,Ankara,Daire,54,43,2,23,1,2,Doğalgaz (Kombi),1,2,False,True,False,50,True,626021
1008768,Samsun,Daire,172,151,5,50,0,8,Doğalgaz (Kombi),3,1,True,True,True,100,False,641101
1007401,Ankara,Ofis,138,127,0,54,2,4,Doğalgaz (Kombi),1,0,True,False,False,0,True,1391543
1004800,İstanbul,Daire,243,223,1,41,3,10,Merkezi,2,1,True,False,False,14,True,6152400
1011227,İstanbul,Daire,239,182,3,1,1,2,Merkezi,2,0,False,True,False,139,True,6350829
1013827,İstanbul,Daire,222,162,3,46,3,15,Doğalgaz (Kombi),1,3,True,False,False,55,True,5328929
1002698,Adana,Daire,204,162,2,47,8,12,Merkezi,1,3,False,True,False,0,False,1092563
1006532,Kayseri,Daire,53,45,3,1,9,13,Merkezi,1,0,True,False,True,100,True,241710
1010779,Samsun,Daire,70,57,2,45,8,16,Doğalgaz (Kombi),1,0,True,False,True,100,True,295619
1011755,İstanbul,Daire,150,118,2,10,1,15,Soba,3,0,True,False,False,23,True,3093210
1000408,İstanbul,Daire,188,151,2,7,0,9,Doğalgaz (Kombi),1,0,False,True,False,100,True,4124005
1009706,Kayseri,Villa,447,353,5,7,1,2,Doğalgaz (Kombi),2,0,False,True,True,431,True,2853340
1014383,Ankara,Dükkan,182,141,0,10,5,12,Doğalgaz (Kombi),3,2,False,True,False,0,True,1665442
1001608,Ankara,Arsa,329,329,0,70,0,12,Merkezi,1,1,False,False,False,217,False,1796720
1010432,Adana,Arsa,854,854,0,0,1,12,Doğalgaz (Kombi),1,1,False,True,False,183,False,4435762
1007149,İstanbul,Daire,59,47,3,64,3,12,Isıtma Yok,3,3,True,True,False,0,True,1061173
1004093,İstanbul,Daire,47,38,2,55,1,8,Merkezi,1,1,True,True,False,33,True,1111093
1007665,Bursa,Daire,155,138,4,29,2,10,Merkezi,2,1,True,True,False,0,True,994832
1004742,Antalya,Daire,86,76,1,26,0,9,Soba,1,0,True,False,False,27,True,934672
1004953,Ankara,Daire,113,85,4,35,5,16,Merkezi,2,1,True,True,True,100,True,1345033
1009214,Trabzon,Arsa,1120,1120,0,28,5,10,Doğalgaz (Kombi),2,1,False,False,False,11,True,2680711
1014579,Bursa,Daire,225,172,2,33,6,14,Soba,3,2,True,False,False,76,False,1752052
1000426,Adana,Daire,66,52,1,33,1,2,Doğalgaz (Kombi),3,1,True,True,False,0,True,296584
1000949,İstanbul,Daire,35,25,3,11,5,18,Doğalgaz (Kombi),1,1,True,False,False,94,True,691819
1008361,Adana,Daire,163,139,2,62,8,9,Isıtma Yok,2,3,True,True,False,214,True,861634
1003393,Kayseri,Daire,203,171,3,23,9,13,Doğalgaz (Kombi),1,1,True,False,True,392,True,935027
1002865,Antalya,Daire,222,188,1,26,2,15,Doğalgaz (Kombi),1,0,True,False,True,452,True,2191201
1012969,Ankara,Daire,111,94,2,22,0,5,Isıtma Yok,2,2,True,False,True,148,True,853014
1008959,İstanbul,Daire,60,54,4,58,0,12,Yerden Isıtma,2,1,True,False,False,75,True,1367922
1013656,İstanbul,Ofis,154,124,1,25,2,12,Merkezi,3,0,True,False,False,168,True,3302232
1011110,Samsun,Dükkan,220,170,0,18,1,1,Merkezi,1,2,False,False,False,57,True,1030737
1008167,Adana,Daire,207,155,2,66,8,10,Doğalgaz (Kombi),3,1,True,False,False,61,True,1378626
1010318,Antalya,Arsa,429,429,0,11,0,8,Doğalgaz (Kombi),2,1,False,False,False,94,False,2207441
1005910,İstanbul,Dükkan,175,140,0,76,6,7,Doğalgaz (Kombi),1,0,False,False,False,1,False,4498601
1007105,Konya,Dükkan,245,192,0,64,1,3,Soba,1,3,False,False,False,0,False,1459564
1007847,Ankara,Daire,86,76,1,11,5,9,Merkezi,3,1,True,False,False,181,True,1051598
1001691,Ankara,Daire,160,136,3,19,8,9,Doğalgaz (Kombi),2,1,True,True,False,162,True,1252633
1014877,İstanbul,Daire,182,162,4,56,2,3,Merkezi,2,1,False,True,False,0,True,3922293
1012747,İstanbul,Daire,193,171,1,12,10,15,Doğalgaz (Kombi),1,1,True,False,False,92,True,4491041
1001421,İzmir,Daire,246,216,4,1,0,3,Soba,1,1,True,False,True,828,True,2282938
1014791,İstanbul,Daire,150,122,1,3,4,11,Soba,2,0,True,True,True,352,False,2909787
1007372,İstanbul,Dükkan,77,55,0,27,1,2,Doğalgaz (Kombi),2,0,False,True,False,0,False,1957631
1000819,İstanbul,Daire,220,196,3,29,13,15,Yerden Isıtma,2,1,False,False,False,0,True,5914634
1006608,Antalya,Daire,202,157,2,13,4,16,Merkezi,1,1,True,True,False,36,True,1029253
1007258,Ankara,Daire,234,195,4,45,0,8,Doğalgaz (Kombi),3,2,True,False,True,345,True,1562166
1014882,İstanbul,Arsa,1239,1239,0,54,8,12,Doğalgaz (Kombi),3,2,True,False,False,0,True,9333081
1010605,İzmir,Daire,235,183,3,3,9,13,Merkezi,1,1,True,True,False,235,True,3154016
1014677,Trabzon,Ofis,50,45,1,43,1,13,Yerden Isıtma,3,2,True,False,False,151,True,192238
1011212,İstanbul,Daire,111,87,3,16,6,7,Doğalgaz (Kombi),3,1,True,False,False,83,True,1619721
1010495,Eskişehir,Daire,199,179,4,3,13,16,Doğalgaz (Kombi),2,0,True,False,False,106,True,1161258
1014127,Ankara,Arsa,727,727,0,35,2,6,Doğalgaz (Kombi),2,1,False,False,False,105,False,4395977
1009892,Mersin,Daire,95,82,2,58,9,11,Doğalgaz (Kombi),1,1,True,False,False,60,True,516447
1000409,İzmir,Daire,50,37,2,46,1,4,Doğalgaz (Kombi),2,0,True,True,False,52,True,493859
1001285,İzmir,Arsa,848,848,0,43,1,2,Klima,3,1,False,True,False,0,False,9772408
1008922,Kayseri,Daire,236,186,2,17,9,10,Yerden Isıtma,2,2,True,False,True,422,True,1216013
1005225,Samsun,Daire,153,135,2,35,13,18,Merkezi,1,1,True,False,False,29,True,682709
1006909,Ankara,Daire,69,58,2,41,8,11,Doğalgaz (Kombi),2,1,True,False,False,0,True,547763
1007625,Konya,Daire,145,126,3,43,7,11,Merkezi,1,2,True,True,False,93,True,773949
1005981,İzmir,Dükkan,50,41,0,52,8,12,Klima,3,0,False,False,False,17,False,811340
1001091,Adana,Daire,164,122,3,42,3,10,Isıtma Yok,2,1,True,False,True,100,True,1051139
1004501,Antalya,Daire,238,189,2,38,2,12,Soba,1,1,True,False,False,105,True,2129629
1000073,İstanbul,Dükkan,173,152,0,24,8,12,Merkezi,1,1,False,False,False,0,False,5423568
1006825,Adana,Daire,136,115,3,6,9,12,Doğalgaz (Kombi),2,1,True,True,False,60,True,701661
1011798,İstanbul,Arsa,358,358,0,5,1,7,Doğalgaz (Kombi),1,1,False,False,False,0,False,3759205
1006526,İstanbul,Villa,229,194,4,19,0,2,Soba,1,2,False,True,False,173,True,7761196
1011219,İzmir,Daire,134,96,1,32,13,15,Klima,1,0,True,False,True,161,True,1273330
1010192,Bursa,Daire,138,108,3,16,0,9,Doğalgaz (Kombi),1,1,True,True,False,134,False,908214
1014811,Konya,Daire,126,103,2,2,0,12,Doğalgaz (Kombi),1,0,True,False,False,19,True,613742
1000291,Diyarbakır,Dükkan,33,26,0,22,4,5,Doğalgaz (Kombi),2,0,False,True,False,3,False,171866
1006086,İzmir,Daire,226,171,3,31,2,10,Doğalgaz (Kombi),1,1,True,False,True,301,True,2248067
1007808,Diyarbakır,Daire,43,32,2,75,2,6,Doğalgaz (Kombi),1,0,True,False,False,122,True,151829
1009143,Adana,Daire,140,106,4,43,7,12,Klima,1,0,True,False,False,12,False,707047
1011410,İstanbul,Daire,104,81,3,7,5,16,Doğalgaz (Kombi),3,1,True,False,False,3,False,2685210
1008059,Ankara,Ofis,85,71,1,16,4,14,Klima,1,1,True,False,False,131,False,863563
1002089,İstanbul,Daire,194,167,1,50,2,8,Soba,2,0,True,False,False,0,True,5387102
1006286,İstanbul,Daire,44,38,1,22,7,15,Soba,1,0,False,True,False,0,True,1128788
1001801,İstanbul,Daire,227,185,2,2,1,13,Doğalgaz (Kombi),2,1,True,False,False,160,True,4081432
1013752,İstanbul,Daire,204,167,3,51,0,4,Soba,2,1,False,False,True,556,True,3795035
1011822,İzmir,Daire,201,165,2,56,8,10,Soba,2,2,True,False,True,549,True,3188587
1001576,Bursa,Daire,224,198,3,18,7,15,Klima,1,1,True,False,True,300,True,1268897
1001110,İstanbul,Daire,206,185,2,9,1,1,Soba,2,3,False,True,True,276,True,4091878
1000318,İzmir,Dükkan,79,58,0,48,7,10,Merkezi,2,1,True,False,False,0,True,1322300
1010400,Gaziantep,Arsa,671,671,0,17,3,11,Klima,2,0,False,False,False,52,False,1408798
1007802,Trabzon,Daire,162,133,3,73,6,7,Merkezi,2,2,True,True,True,241,True,607132
1013590,İstanbul,Dükkan,280,202,0,0,0,14,Soba,1,2,False,False,False,194,True,7373065
1006196,İstanbul,Daire,120,84,1,17,5,6,Doğalgaz (Kombi),1,1,True,True,True,439,True,2243568
1001825,Ankara,Daire,211,179,3,12,1,4,Doğalgaz (Kombi),1,1,False,True,True,616,True,2323656
1003146,Ankara,Ofis,58,51,2,66,12,17,Doğalgaz (Kombi),2,1,True,False,False,98,True,554636
1006452,Konya,Daire,94,82,2,34,1,9,Soba,2,2,True,False,False,19,True,567118
1004486,Gaziantep,Daire,60,45,3,58,3,4,Doğalgaz (Kombi),1,2,False,True,False,130,True,246246
1003411,İstanbul,Arsa,938,938,0,23,1,3,Soba,1,0,False,True,False,96,False,12171611
1000144,Adana,Daire,69,62,4,44,0,6,Doğalgaz (Kombi),1,1,True,True,False,0,True,433191
1009960,Bursa,Daire,194,151,3,20,8,16,Doğalgaz (Kombi),3,0,True,True,False,34,True,1407332
1004562,İstanbul,Daire,43,32,4,48,11,18,Soba,1,1,True,False,False,0,True,1079840
1007735,Antalya,Daire,82,75,2,35,3,12,Merkezi,3,1,True,True,False,35,True,573461
1009051,İstanbul,Daire,41,37,3,10,1,12,Doğalgaz (Kombi),2,1,True,False,True,275,True,1260692
1010557,İstanbul,Daire,232,196,4,6,1,2,Yerden Isıtma,1,1,True,True,True,325,True,4442890
1004556,Konya,Daire,41,36,4,29,3,9,Soba,3,0,True,False,False,69,True,134819
1009195,Adana,Ofis,351,269,2,73,0,10,Doğalgaz (Kombi),1,1,True,False,False,55,True,1892003
1011013,İstanbul,Daire,183,154,2,48,5,17,Yerden Isıtma,2,1,True,True,False,0,True,3722771
1004871,Mersin,Arsa,993,993,0,26,1,11,Yerden Isıtma,3,2,False,False,False,176,False,2296285
1010413,İstanbul,Daire,90,79,3,34,7,9,Doğalgaz (Kombi),2,2,True,False,False,0,True,2221220
1011800,İstanbul,Daire,244,219,2,43,15,16,Klima,2,1,True,True,False,0,True,5463269
1008257,İstanbul,Daire,156,130,3,4,0,3,Klima,1,1,False,False,True,294,True,3816946
1011904,İstanbul,Daire,161,127,2,3,4,13,Doğalgaz (Kombi),2,1,True,False,False,176,True,3328947
1001830,Antalya,Daire,212,158,2,50,0,9,Doğalgaz (Kombi),2,1,True,True,False,137,True,1896357
1008965,İstanbul,Arsa,1287,1287,0,52,2,7,Soba,2,0,False,False,False,0,False,16752251
1000085,İstanbul,Dükkan,118,85,0,27,3,5,Doğalgaz (Kombi),3,1,False,True,False,75,False,2844528
1010090,Bursa,Daire,101,90,4,3,1,4,Merkezi,3,0,True,False,True,100,True,706453
1001219,Samsun,Daire,88,80,2,9,6,8,Doğalgaz (Kombi),1,1,True,False,False,99,True,411931
1008403,İstanbul,Ofis,55,41,3,40,5,12,Klima,2,1,True,False,False,0,True,1234933
1005069,Bursa,Daire,64,47,2,38,0,5,Isıtma Yok,2,2,False,False,False,0,True,528454
1003576,Kayseri,Daire,221,157,3,17,2,13,Yerden Isıtma,1,1,True,True,True,382,True,1138251
1012209,Malatya,Dükkan,103,94,0,23,8,9,Merkezi,1,1,False,False,False,244,False,467839
1011299,Ankara,Daire,167,143,3,6,2,3,Merkezi,1,1,False,False,False,0,True,1578831
1005790,Kayseri,Daire,49,38,1,27,3,15,Merkezi,1,1,True,True,True,208,True,214760
1004209,Adana,Daire,162,136,4,54,2,3,Doğalgaz (Kombi),2,1,False,True,False,0,True,1256863
1014014,İstanbul,Daire,46,35,4,55,1,3,Merkezi,1,1,True,True,True,100,False,1060849
1005438,Ankara,Daire,183,147,4,39,5,14,Merkezi,1,1,False,False,False,0,True,1709298
1014305,Konya,Daire,231,193,1,70,11,14,Merkezi,1,1,False,False,False,60,True,1386116
1000594,Bursa,Daire,156,125,1,61,8,9,Doğalgaz (Kombi),1,0,True,False,True,185,True,1350376
1004639,Bursa,Daire,173,158,2,45,1,11,Soba,1,1,True,False,True,427,True,1537957
1007273,İstanbul,Daire,126,92,1,24,4,7,Merkezi,2,0,True,False,False,132,True,2700971
1008142,İstanbul,Daire,157,137,3,1,10,12,Klima,2,2,True,True,False,2,True,3515393
1012299,İstanbul,Daire,41,36,3,76,3,12,Doğalgaz (Kombi),1,1,True,False,True,232,True,1033465
1013847,Malatya,Daire,62,56,2,31,1,6,Merkezi,1,2,True,False,False,47,True,215395
1008630,Trabzon,Daire,50,46,3,21,7,14,Soba,3,1,False,True,False,89,True,164857
1014543,İzmir,Daire,103,91,2,48,0,13,Doğalgaz (Kombi),3,0,True,True,False,0,False,1412769
1014062,Trabzon,Daire,50,45,2,9,0,4,Doğalgaz (Kombi),2,0,False,True,False,167,True,127337
1014024,İstanbul,Daire,68,60,4,70,7,12,Doğalgaz (Kombi),1,0,False,False,False,39,True,1722123
1000061,İstanbul,Daire,215,161,4,5,0,2,Merkezi,1,2,False,True,False,164,True,3709860
1005725,Ankara,Daire,72,55,4,28,2,4,Doğalgaz (Kombi),2,1,True,True,False,101,True,743469
1006114,Gaziantep,Daire,77,71,1,16,9,14,Yerden Isıtma,1,1,True,True,False,243,True,411004
1013056,Ankara,Dükkan,134,107,0,21,1,2,Merkezi,2,1,False,False,False,21,True,1167340
1010684,İzmir,Daire,133,115,4,52,1,2,Soba,3,1,False,False,False,65,True,1538642
1010661,Bursa,Dükkan,109,80,0,26,0,3,Doğalgaz (Kombi),2,0,False,True,False,0,True,641805
1011712,İstanbul,Daire,165,141,3,67,6,7,Doğalgaz (Kombi),1,1,True,True,True,406,False,4482237
1008638,İstanbul,Daire,195,159,3,76,1,10,Doğalgaz (Kombi),2,1,True,False,False,64,True,6484474
1011857,Mersin,Daire,85,66,1,12,16,17,Doğalgaz (Kombi),1,1,False,False,False,0,True,453507
1012379,Bursa,Ofis,201,166,2,16,11,12,Merkezi,1,1,True,True,False,113,True,1484213
1013386,İzmir,Arsa,252,252,0,56,2,4,Klima,1,3,False,True,True,5,False,2432186
1009410,Trabzon,Villa,648,515,3,64,5,15,Doğalgaz (Kombi),1,0,True,False,False,20,True,3458602
1007316,Antalya,Daire,87,62,2,38,3,5,Merkezi,1,0,False,True,False,141,True,683938
1014886,Samsun,Daire,50,39,2,38,8,9,Soba,1,1,True,False,True,100,True,169067
1005990,Adana,Daire,50,44,2,44,1,2,Isıtma Yok,1,0,False,False,True,110,True,319667
1007046,İzmir,Daire,145,122,1,51,4,9,Merkezi,1,1,True,False,True,206,True,1329642
1013134,Diyarbakır,Ofis,371,289,1,16,9,14,Doğalgaz (Kombi),1,3,True,False,False,155,True,1281832
1007530,Samsun,Daire,155,136,3,9,1,6,Klima,1,1,True,False,False,152,True,764506
1005411,İzmir,Daire,175,154,2,12,4,15,Doğalgaz (Kombi),1,2,True,False,True,100,True,1485220
1000958,Ankara,Daire,206,159,3,36,1,5,Doğalgaz (Kombi),1,1,True,False,True,253,True,1660646
1000472,Adana,Daire,150,126,5,5,2,6,Merkezi,1,1,True,True,False,10,True,909774
1013327,Ankara,Arsa,804,804,0,26,3,7,Soba,2,0,True,True,False,0,False,4104948
1001513,İzmir,Daire,124,92,3,40,4,9,Merkezi,1,0,True,True,False,0,True,1951507
1002290,Antalya,Daire,50,38,3,22,12,18,Doğalgaz (Kombi),2,1,True,False,True,144,True,575062
1004738,İstanbul,Dükkan,146,129,0,48,2,13,Doğalgaz (Kombi),1,1,False,True,False,24,True,3117920
1008455,İstanbul,Daire,181,158,3,1,1,17,Doğalgaz (Kombi),1,1,True,False,False,0,True,4605250
1014771,Kayseri,Daire,47,40,2,21,1,2,Doğalgaz (Kombi),2,1,False,False,False,0,True,262078
1011235,Diyarbakır,Daire,96,69,3,40,1,1,Merkezi,1,2,True,True,False,10,True,360844
1001479,İstanbul,Ofis,40,30,1,3,1,1,Merkezi,1,1,True,False,False,46,True,698660
1009063,İstanbul,Daire,249,228,2,59,0,2,Yerden Isıtma,3,1,False,False,True,319,True,6711653
1012048,Diyarbakır,Daire,190,153,4,68,0,17,Merkezi,2,2,True,False,False,78,True,589576
1002899,İstanbul,Ofis,371,279,1,69,15,18,Merkezi,1,1,True,True,False,0,True,6980685
1004881,Ankara,Daire,220,163,4,36,8,12,Soba,1,1,True,False,False,0,True,1825528
1012375,İstanbul,Daire,111,91,4,6,2,7,Soba,1,2,True,True,True,100,True,2422613
1005261,İstanbul,Daire,96,72,2,33,9,16,Merkezi,2,2,True,True,False,0,True,2055997
1009090,İzmir,Daire,136,109,5,43,5,8,Merkezi,1,1,True,True,True,307,True,2251749
1014557,Ankara,Daire,106,90,3,2,0,15,Soba,2,1,True,False,True,350,True,1136024
1007199,Antalya,Dükkan,166,128,0,0,9,11,Isıtma Yok,1,1,False,False,False,165,True,2058111
1010289,Ankara,Daire,169,150,4,53,1,8,Merkezi,2,1,True,False,False,69,True,1417193
1011771,Ankara,Daire,178,131,4,23,8,9,Merkezi,2,1,True,True,False,68,True,1729222
1004877,Bursa,Daire,170,130,1,38,0,5,Doğalgaz (Kombi),1,1,True,True,False,129,True,1325081
1010084,Malatya,Daire,94,76,3,51,2,13,Merkezi,2,2,True,True,False,91,True,344864
1009578,Samsun,Dükkan,164,115,0,9,7,14,Doğalgaz (Kombi),2,1,False,True,False,0,False,536210
1007414,Ankara,Daire,144,129,1,30,7,11,Merkezi,2,2,True,True,False,67,True,1204374
1011057,Adana,Daire,155,120,4,13,2,9,Doğalgaz (Kombi),1,1,True,True,True,386,True,714912
1000491,İstanbul,Daire,197,150,2,29,3,4,Merkezi,1,2,True,False,False,0,True,4881861
1010095,Bursa,Daire,174,140,4,28,3,4,Merkezi,1,1,False,False,False,161,True,1591354
1012635,Gaziantep,Daire,47,33,3,25,5,17,Klima,1,1,True,False,False,0,True,218307
1005479,Ankara,Daire,191,154,3,12,0,4,Merkezi,2,1,True,False,False,68,True,1742020
1014121,Mersin,Daire,173,122,4,39,1,16,Merkezi,2,1,True,True,True,646,True,601946
1010686,Ankara,Daire,87,68,2,26,2,13,Soba,2,0,False,True,False,0,True,722851
1005371,İzmir,Dükkan,162,135,0,76,3,9,Doğalgaz (Kombi),2,0,True,True,False,54,False,2724601
1000127,İstanbul,Daire,113,91,1,7,0,6,Doğalgaz (Kombi),1,1,True,False,False,127,True,2963147
1014806,İstanbul,Daire,106,86,4,62,7,13,Merkezi,1,1,True,False,False,0,True,1733851
1006778,Gaziantep,Daire,135,108,3,51,3,5,Soba,1,1,True,True,True,100,True,742600
1003980,Malatya,Ofis,371,305,1,46,1,1,Doğalgaz (Kombi),3,2,True,True,False,113,False,1246124
1007499,İstanbul,Daire,37,32,5,16,12,13,Merkezi,3,3,False,True,True,289,True,789211
1001264,İzmir,Daire,195,145,2,42,5,16,Soba,3,1,True,False,True,686,True,2700059
1013255,Kayseri,Daire,154,111,1,13,5,13,Yerden Isıtma,2,1,True,True,False,122,True,786266
1010436,Ankara,Daire,188,164,5,33,4,12,Doğalgaz (Kombi),1,0,True,False,False,0,True,1552927
1010038,Eskişehir,Daire,108,77,2,59,0,2,Soba,1,1,True,False,True,100,True,452007
1013901,Trabzon,Arsa,1679,1679,0,59,1,1,Merkezi,2,1,True,False,False,187,True,4952413
1009344,Konya,Daire,188,168,1,18,5,7,Doğalgaz (Kombi),2,0,False,False,False,0,True,929255
1004533,Ankara,Daire,126,103,4,24,10,15,Doğalgaz (Kombi),2,1,True,True,False,195,True,1826433
1009937,Gaziantep,Daire,97,87,2,1,6,9,Merkezi,1,1,True,False,True,100,True,328943
1007791,İstanbul,Daire,144,103,3,19,6,10,Doğalgaz (Kombi),2,0,True,True,False,0,True,2311235
1000275,Bursa,Daire,71,64,2,19,3,14,Isıtma Yok,2,1,False,True,True,100,True,607717
1013064,Bursa,Villa,266,204,3,36,0,2,Yerden Isıtma,1,1,False,True,True,152,True,3741144
1013122,Adana,Daire,75,57,1,12,4,9,Soba,1,1,True,False,False,69,True,446597
1010501,Gaziantep,Daire,117,83,2,15,4,10,Doğalgaz (Kombi),3,2,True,False,True,209,True,497052
1001272,İstanbul,Daire,154,137,2,21,2,11,Merkezi,2,0,True,True,False,128,True,2864023
1008171,Gaziantep,Daire,59,51,3,51,3,5,Isıtma Yok,1,0,True,False,False,0,True,211026
1008902,Diyarbakır,Daire,177,156,2,11,0,2,Doğalgaz (Kombi),1,2,False,False,False,70,True,610553
1005493,İzmir,Arsa,707,707,0,11,9,14,Isıtma Yok,2,1,False,False,False,0,False,7291042
1010932,Antalya,Dükkan,67,54,0,5,13,16,Klima,1,2,True,False,False,92,True,785868
1001897,İstanbul,Dükkan,250,223,0,65,7,9,Doğalgaz (Kombi),1,1,False,True,False,67,True,6041255
1011891,İstanbul,Daire,65,52,3,13,5,8,Merkezi,1,1,True,True,True,100,True,1250116
